"EV001","",""
"小悪魔B","","Imp B"
"<優香>
『さすがにキスだけじゃイかない？
　ぷっ♡そんなとろけた顔でよくそんな強がりが言えるね♡』","","<Yuuka>
""Oh? You won't cum from kisses kisses alone? Pfft♡
 I can't believe you have the balls to say that when
 your face is already this sloppy♡"""
"<優香>
『ま、いいわ♡
　それならさっさとトドメさしてあげるからさ♡』","","<Yuuka>
""What ever you say makes no difference♡ You're going
 to cum from my kisses and I'll prove it right now♡"""
"そう言うと、優香は自身の唇を人差し指で扇情的になぞる。
すると指がなぞった部分の唇が、妖しくピンク色に暉く。","","After saying that, Yuuka pressed a finger to her lips
and began tracing it around them. As she did so, the
traced parts began shining in pink light."
"<優香>
『こっからはスキルを使ってあげる♡
　レベルが上がって覚えた私のスキル♡』","","<Yuuka>
""Next I'm going to use a skill on you♡ A skill I
 learned from my last level up♡"""
"<優香>
『チャームの効果を込めた私の唇♡
　この唇でキスされて、くそザコなアンタが耐えられる？
　ふぅ～♡』","","<Yuuka>
""It applies charm debuff to my lips♡ Do you think you
 can take it if I locked you into a kiss now?♡
 Fuuuuh♡"""
"優香は挑発する様に唇を窄め、
ふぅ～と熱い吐息を貴方の唇に吹きかける。","","Yuuka puckered her lips and blew a hot breath on your
face."
"ピンク色に暉く唇を通して、吹きかけられる甘い吐息。
それだけの刺激で、強い快感が貴方の身体を支配し、
身体が震えてしまう。","","The air picked up a sweet scent as it passed through
Yuuka's glowing lips. Just the touch of her breath
of your skin made your whole body convulse in pleasure."
"<優香>
『あはは♡
　このまま吐息吹きかけてるだけでイっちゃいそうな反応♡
　さすがにくそザコすぎるでしょ♡ふぅ～♡ふぅ～♡』","","<Yuuka>
""Ahaha♡ It's like you could cum from my breath alone
 when you're trembling like that♡ But you're still
 not that weak, right? You weak-ass♡ Fuuuh♡ Fuuuh♡"""
"優香は貴方の反応がツボに入ったのか、
楽しそうに笑いながらいたずらする様に、
何度も熱い吐息を貴方の唇に吹きかける。","","Yuuka found your reactions amusing as she continued
blowing hot breaths on your face in wide grin."
"そのたびにじんじんとした快楽に襲われ、
身体をビクビクはねさせてしまう。","","With every breath, your whole body trembled from the
tingling pleasure."
"<優香>
『ふぅ～♡ふぅ～♡
　…………ぷっ♡なにこれ♡
　ズボンにシミが出来てきたんだけど♡』","","<Yuuka>
""Fuuuh♡ Fuuuh♡ ...Pfft♡ What this?
 There's a wet spot on your pants♡"""
"<優香>
『唇に吐息吹きかけられるだけで我慢汁出てきたの？
　よっわ♡おちんぽザコすぎ♡』","","<Yuuka>
""Are my breaths on your face enough to make you leak
 precum? That's so weak♡ You must have the weakest
 dick I have ever seen♡"""
"<優香>
『こんなくそザコおちんぽ、
　私がチャームキスしたらすぐイっちゃうでしょ♡』","","<Yuuka>
""When your dick is this weak, I bet a kiss from my
 charm-infused lips will make you instantly cum♡"""
"優香は貴方をとことん馬鹿にしながら、
ゆっくりと唇を近づける。","","Yuuka continued making fun of you while slowly closing
in her lips on your face."
"ダメだと分かっていても、
これから訪れる快感に胸が高まり、
妖しく光るピンク色の唇から目が離せない。","","You knew how bad the situation was, but even then you
couldn't take your eyes away from Yuuka's glowing pink
lips as they slowly approached you. You couldn't wait
for the pleasures they were about to show you."
"<優香>
『ま、あんなザコに負けるくらいのプレイヤーだしね♡
　アンタじゃ味わうことすらもったいない私のキス♡』","","<Yuuka>
""You're the weakest weak-ass who can't even beat an
 imp♡ Normally you would never get a chance to get
 a kiss from a pretty girl like me♡"""
"<優香>
『じっくり味わいながら、レベル全部出せ♡
　ん～……ちゅぅぅぅぅ♡』","","<Yuuka>
""That's why make sure to enjoy my kiss to its fullest
 while handing all your levels to me♡
 Mmmh... Smoooooch♡"""
"ピンク色に暉く唇が、貴方の唇に吸い付く。
柔らかい感触に触れた瞬間、電流のような快楽が身体を貫き、
ピンと背中をそらして腰を突き上げてしまう。","","Yuuka laid her glowing pink lips on yours. The moment
you felt the softness of her kissers, your back arced
backwards and your hips shot forward from the electric
shock of pleasure that struck your whole body."
"<優香>
『ほら、とっととイけ♡ざぁこ♡
　ちゅぅぅ♡ちゅっ♡』","","<Yuuka>
""Hey♡ Cum already♡ You weak-ass♡
 Smooch♡ Smooch♡"""
"押し付けられた柔らかな唇を通して身体に流れ込む、
電流のような快感に貴方の肉棒はたやすく屈してしまい、
経験値の詰まった精液を放出してしまう。","","Your penis instantly gave in when Yuuka shocked you
with another wave of pleasure through her lips.
The semen packed with your experience shot out from
your penis."
"<優香>
『ん…………ぷはぁ♡来た来た、アンタのレベル♡
　キスで瞬殺しちゃった♡』","","<Yuuka>
""Mmmh... Phew♡ There it comes♡ Your level♡
 You instantly loss to my kiss♡"""
"<優香>
『ま、思った通り、
　くそザコすぎて1回じゃ大した経験値じゃないか♡』","","<Yuuka>
""But just like I thought, a single level from a
 weak-ass like you is barely worth any EXP♡"""
"<優香>
『その分、ちゃんと量の方でカバーしてもらわないとね？
　ん～……ちゅぅぅ♡』","","<Yuuka>
""That's why... You need to make up for it with
 quantity♡ Mmmh... Smooch♡"""
"優香は貴方を休ませることなく、
再び自身の唇をピンク色に輝かせ、貴方に強く押し付ける。","","Yuuka didn't give you even a moment of rest as she
applied the charm skill to her lips again and locked
you in another kiss."
"再びその唇を通して流れ込む快楽に、
貴方は何とか逃れようと体を痙攣させるようにもがく。","","With the waves of pleasure taking over you again, you
knew you had to do something and tried to struggle free
even while your whole body was convulsing."
"<優香>
『ちゅっ♡ばぁか♡
　くそザコなアンタが私から逃げられるわけないでしょ♡』","","<Yuuka>
""Smooch♡ Stupid♡ There's no way a weak-ass like you
 can struggle free from me♡"
"そんな貴方を、優香は軽く抑え込み、
自分の唇で貴方の唇をなぞる様に擦りつける。","","Yuuka easily held you down while rubbing her lips on
yours."
"少女に抑え込まれ、
キスだけでこのまま終わらされてしまう…………","","A girl was finishing you off with kisses while pinning
you down..."
"そんな屈辱的な未来が確定していることが、
貴方にも理解できてしまった。","","You understood how that was the humiliating end that
was awaiting you."
"<優香>
『もう大人しくなったね♡
　無駄な抵抗、お疲れさまでしたー♡
　それじゃ、このまま終わらせてあげる♡ちゅぅぅ♡』","","<Yuuka>
""Already finished with the struggling? Good job on all
 that pointless resisting♡ Then it's time to drain 
 another load from you♡ Smooch♡"""
"身体をだらんと脱力させ、
抵抗の意思を失った貴方を嘲りながら優香はキスを続ける。","","Yuuka saw how you stopped struggling and lost the will
to resist, and she made fun of you over it while
continuing the kisses."
"ちゅっちゅっと柔らかく、恋人のように舌をついばむキスに、
貴方の我慢は崩されていく。","","Your endurance was crumbling as Yuuka worked her soft
lips and wet tongue on you like a lover."
"<優香>
『ぷっ♡キスだけでまたおちんぽ震えてきた♡
　くそザコおちんぽ、また経験値出しちゃう？』","","<Yuuka>
""Pfft♡ Your dick is twitching from kisses again♡
 Are you going to shoot another load of EXP with your
 weak baby dick?"""
"<優香>
『ま、アンタから奪った経験値は私が有効活用して、
　このゲームをクリアしてあげる♡』","","<Yuuka>
""You don't need to worry about it because I'm going to
 use much better use of that EXP than you ever could to
 clear this game♡"""
"<優香>
『だから安心して、私に全部捧げろ♡
　キスでゲームオーバーになれ♡
　ざこ♡ざぁこ♡ちゅぅぅ♡』","","<Yuuka>
""That's why you can give it to me without any regrets♡
 Lose the gave from my kisses♡ You weak-ass♡
 Smooch♡"""
"優香の身勝手な言い分に、逆らうことすらできない。
彼女の唇が自分の唇に強く押し付けられるたび、
精液がのぼってきてしまう。","","Yuuka continued running her mouth as she liked, and you
couldn't say anything back because you could feel your
orgasm closing in every time she pressed her lips hard
against yours."
"<優香>
『だせ♡だせ♡
　くそザコおちんぽから経験値出せ♡ちゅぅぅ♡』","","<Yuuka>
""Cum♡ Cum already♡ Shoot out the levels from your
 weak baby dick♡ Smooch♡"""
"貴方は優香に命じられるまま、
腰を突き出して再び精液を放出してしまう。","","Your hips shot forward and you released another load
of semen just as Yuuka ordered you to."
"<優香>
『まだまだ、経験値少なすぎ♡
　もっと出せるでしょ？ちゅぅぅ♡』","","<Yuuka>
""That still barely makes up any EXP♡ You can still
 cum more, right? Smooch♡"""
"優香は射精の最中にも、
舌を貴方の口にねじ込み、
唾液を交換する様に激しいキスをする。","","While you were still in the middle of the orgasm,
Yuuka screwed her tongue into your mouth and locked
your tongue in an intense saliva-exchanging kiss."
"彼女の舌に、唇に絡めとられるたびに、
電流のような快感が貴方の身体を貫く。","","With every touch of her lips and tongue, an electric
shock of pleasure struck your whole body."
"<優香>
『ちゅぅぅ♡
　ほら、またくそザコおちんぽに精液のぼってきた♡』","","<Yuuka>
""Smooch♡ Looks like your weak baby dick is going to
 cum again♡"""
"<優香>
『もうすぐゲームオーバーなのに、
　耐えきれずにイかされちゃう♡ちゅっ♡』","","<Yuuka>
""You're about to lose the game, but you aren't even
 trying to resist when I'm making you cum non-stop♡
 Smooch♡"""
"貴方の唇に、彼女は強く自分の唇を押し付け、
全てを吸い足すように唇を窄めて吸い付く。","","Yuuka tightly latched her lips around yours. Then she
narrowed them and started sucking as if trying to take
everything from you."
"<優香>
『アンタの経験値♡
　だせ♡キスで全部出しちゃえ♡ちゅぅぅ♡』","","<Yuuka>
""Give your EXP to me♡ Cum♡ Give everything you have
 to my kisses♡ Smooch♡"""
"貴方はなすすべもなく、
優香のキスに屈服して何度も経験値……
自分の魂をささげてしまう。","","You had no way of resisting when made you submit your
semen and experience to her again... And again...
And again... And again... And again... And again..."
"……………………","","............"
"こうして、貴方は全てのレベルを彼女に吸い付くされ、
そのまま意識を失ってしまった。","","You finally passed out when all your levels were
drained from you."
"EV012","",""
"<アル>
『やっぱり…………』","","<Al>
""After all, it's like that..."""
"小悪魔を倒した直後、アルが意味深な言葉をつぶやく。","","Al muttered something right after you defeated an imp."
"<アル>
『あ、えっとね……
　さっき、モンスターを倒して\n[1]に流れてた力と、
　PvPで流れてた力、どっちも本質は同じものだったんだ。』","","<Al>
""Um, you see... The power that flows when you defeat
 a monster, and the power that flows from other
 players in PVP are both the same in essence."""
"<アル>
『ん～……どう言えばいいかなぁ～……
　モンスターから流れる力と、人から流れる力……
　それが同じだとすると…………』","","<Al>
""Hmm... How should I say it...
 When the power that flows from monsters and people are
 the same..."""
"<アル>
『その、モンスターの力の源はきっと、
　人から吸い上げたレベル……
　ううん、私が見る限り、魂そのものだよ。』","","<Al>
""The source of the monsters' power must be the levels
 they drain from people... No, from my point of view,
 it's the peoples' souls themselves."""
"<アル>
『ほら、最初に言ってたでしょ？
　モンスターに負けたらゲームオーバーです、って！』","","<Al>
""Remember what the voice at the start said?
 The thing how you get a game over if you lose to
 a monster!"""
"<アル>
『つまり、モンスターは敗北した人から魂を吸い尽くして、
　そのエネルギーをもとに活動してる。』","","<Al>
""That must mean that the monsters drain souls from the
 players they defeat and use that energy as the source
 of their power."""
"<アル>
『それも、多分このダンジョンの仕組みとして。
　だってね、モンスターから\n[1]に流れる魂は、
　あり得ないほどに無色そのものだった。』","","<Al>
""That's probably how this dungeon has been deviced.
 You see, the souls flowing from the monsters are
 unbelievably colorless."""
"<アル>
『普通魂って、人によって色があるはずなのに……
　きっと、誰かがどこかで人から得た魂を、
　純粋なエネルギーに変換してるんだよ！』","","<Al>
""Normally, there should be variance in the soul's
 color from person to person...""

<Al>
""And the lack of color must mean that someone somewhere
 is converting the taken souls into pure energy!"""
"<アル>
『その純粋なエネルギーをモンスターに分け与えてる、
　もしくは、そのエネルギーでモンスターを生み出してる！』","","<Al>
""Then they divide that pure energy to the monsters,
 and possibly even create more monster with it!"""
"<アル>
『……え？そんなことが分かる君は何者なんだ、って…
　分かんない、覚えてないよ…………』","","<Al>
""...Eh? How do I know these things?
 I don't know... I can't remember how I learned
 that..."""
"<アル>
『私も、こんなこと理解しちゃう自分が、少し怖い。
　でも、分かっちゃうんだもん…………』","","<Al>
""Even I'm a bit scared of myself when I can understand
 this... But I can't help knowing what I know..."""
"<アル>
『とにかく！もし私が考えたことが本当なら、
　ゲームオーバーになったら元の世界に戻れるなんて、
　嘘っぱちだよ！』","","<Al>
""At any rate! If what I said is true, then the story
 about getting returned to your own world is downright
 a lie!"""
"<アル>
『魂を吸い付くされて、
　生きていられるはずがないもん！』","","<Al>
""No one can live after losing their soul!"""
"<アル>
『だから、気を付けてね！\n[1]！
　この世界で死んじゃったら、本当に死んじゃうよ！』","","<Al>
""That's why, you need to be careful! \n[1]!
 Dying in this world means you'll die for real!"""
"分かった、気を付ける","","Got it, I'll be careful"
"自分も怪しいと思ってた","","I also found it suspicious"
"<アル>
『うん！
　\n[1]が死んじゃったら嫌だよ！』","","<Al>
""Make sure to be! I don't want to see you die!"""
"<アル>
『あれ？そうだったの？
　えへへ、じゃあ、私が言うまでもなかったね！』","","<Al>
""Eh? Really?
 Ehehe♪ I guess it wasn't just me then!"""
"EV013","",""
"<アル>
『あ、もう一個言っておかなきゃいけないことがあるの！
　さっきの魂の話、覚えてる？』","",""
"アルの唐突な疑問に、貴方は頷く。","",""
"<アル>
『モンスターは純粋な魂のエネルギーだって言ったよね？
　それは、当たり前だけど、
　どこかから集めなきゃいけないの。』","",""
"<アル>
『でね？その、モンスターの力の源はきっと、
　人から吸い上げたレベル……
　ううん、私が見る限り、魂そのものだよ。』","",""
"<アル>
『きっと、誰かがどこかで、モンスターが集めた人の魂を、
　純粋なエネルギーに変換してるんだよ！』","",""
"<アル>
『……え？さっきも気になったけど、
　そんなことが分かる君は何者なんだ、って…
　分かんない、覚えてないよ…………』","",""
"EV014","",""
"<優香>
『何？あのレベル上げの方法はもうしないってば。』","",""
"<優香>
『次は必ず、私が犯してやるからね。
　覚悟しててよ…………』","","<Yuuka>
""I'll be the one to fuck you the next time...
 Mark my words..."""
"EV015","",""
"EV016","",""
"EV017","",""
"EV018","",""
"あの助けを呼ぶ声が気になる…………","","You're bothered by the voice that called for help..."
"EV019","",""
"EV027","",""
"ミックスポーションを手に入れた！","","Obtained Mixed Potion!"
"EV028","",""
"マジックウォーターを手に入れた！","","Obtained Magic Water!"
"EV029","",""
"EV030","",""
"EV033","",""
"EV034","",""
"EV035","",""
"EV036","",""
"回想部屋に移動しますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】","",""
"EV038","",""
"EV039","",""
"EV040","",""
"EV041","",""
"EV042","",""
"EV043","",""
"EV044","",""
